#YEAR;TEAM;AVG-ATTENDANCE
2003;Atlético/MG;13245
2003;Atlético/PR;9138
2003;Bahia/BA;12131
2003;Corinthians/SP;9016
2003;Coritiba/PR;7735
2003;Criciúma/SC;8293
2003;Cruzeiro/MG;23443
2003;Figueirense/SC;10164
2003;Flamengo/RJ;9533
2003;Fluminense/RJ;5863
2003;Fortaleza/CE;23472
2003;Goiás/GO;12685
2003;Grêmio/RS;9887
2003;Guarani/SP;4567
2003;Internacional/RS;13876
2003;Juventude/RS;4788
2003;Paraná/PR;4419
2003;Paysandu/PA;14559
2003;Ponte Preta/SP;4064
2003;Santos/SP;7628
2003;São Caetano/SP;2279
2003;São Paulo/SP;11017
2003;Vasco/RJ;5250
2003;Vitória/BA;5309
2004;Atlético/MG;10538
2004;Atlético/PR;12979
2004;Botafogo/RJ;5541
2004;Corinthians/SP;13542
2004;Coritiba/PR;7393
2004;Criciúma/SC;6599
2004;Cruzeiro/MG;6074
2004;Figueirense/SC;10465
2004;Flamengo/RJ;9707
2004;Fluminense/RJ;7666
2004;Goiás/GO;9133
2004;Grêmio/RS;7432
2004;Guarani/SP;3852
2004;Internacional/RS;9363
2004;Juventude/RS;5038
2004;Palmeiras/SP;8586
2004;Paraná/PR;4047
2004;Paysandu/PA;13143
2004;Ponte Preta/SP;3826
2004;Santos/SP;12870
2004;São Caetano/SP;2480
2004;São Paulo/SP;43563
2004;Vasco/RJ;4770
2004;Vitória/BA;5936
2005;Atlético/MG;21725
2005;Atlético/PR;11620
2005;Botafogo/RJ;14456
2005;Brasiliense/DF;13479
2005;Corinthians/SP;27319
2005;Coritiba/PR;18688
2005;Cruzeiro/MG;15753
2005;Figueirense/SC;9279
2005;Flamengo/RJ;13657
2005;Fluminense/RJ;15355
2005;Fortaleza/CE;21750
2005;Goiás/GO;12980
2005;Internacional/RS;16237
2005;Juventude/RS;5648
2005;Palmeiras/SP;14085
2005;Paraná/PR;11864
2005;Paysandu/PA;14213
2005;Ponte Preta/SP;5807
2005;Santos/SP;9611
2005;São Caetano/SP;3094
2005;São Paulo/SP;9805
2005;Vasco/RJ;16938
2006;Atlético/PR;9514
2006;Botafogo/RJ;12655
2006;Corinthians/SP;19373
2006;Cruzeiro/MG;16750
2006;Figueirense/SC;10170
2006;Flamengo/RJ;13725
2006;Fluminense/RJ;14341
2006;Fortaleza/CE;15068
2006;Goiás/GO;15993
2006;Grêmio/RS;27038
2006;Internacional/RS;21461
2006;Juventude/RS;4729
2006;Palmeiras/SP;9009
2006;Paraná/PR;7312
2006;Ponte Preta/SP;5987
2006;Santa Cruz/PE;8576
2006;Santos/SP;8706
2006;São Caetano/SP;1526
2006;São Paulo/SP;36280
2006;Vasco/RJ;20444
2007;América/RN;9689
2007;Atlético/MG;13781
2007;Atlético/PR;7640
2007;Botafogo/RJ;22186
2007;Corinthians/SP;16681
2007;Cruzeiro/MG;21754
2007;Figueirense/SC;7704
2007;Flamengo/RJ;26485
2007;Fluminense/RJ;19108
2007;Goiás/GO;12489
2007;Grêmio/RS;19063
2007;Internacional/RS;15595
2007;Juventude/RS;5106
2007;Náutico/PE;12259
2007;Palmeiras/SP;15527
2007;Paraná/PR;7222
2007;Santos/SP;6742
2007;São Paulo/SP;19626
2007;Sport/PE;22436
2007;Vasco/RJ;12327
2008;Atlético/MG;16429
2008;Atlético/PR;16750
2008;Botafogo/RJ;13832
2008;Coritiba/PR;19306
2008;Cruzeiro/MG;23405
2008;Figueirense/SC;8585
2008;Flamengo/RJ;41124
2008;Fluminense/RJ;15486
2008;Goiás/GO;8086
2008;Grêmio/RS;31075
2008;Internacional/RS;19588
2008;Ipatinga/MG;3726
2008;Náutico/PE;14622
2008;Palmeiras/SP;16612
2008;Portuguesa/SP;5089
2008;Santos/SP;9013
2008;São Paulo/SP;18800
2008;Sport/PE;22004
2008;Vasco/RJ;13255
2008;Vitória/BA;15690
2009;Atlético/MG;40594
2009;Atlético/PR;15984
2009;Avaí/SC;10096
2009;Barueri/SP;3799
2009;Botafogo/RJ;13020
2009;Corinthians/SP;19910
2009;Coritiba/PR;16057
2009;Cruzeiro/MG;21678
2009;Flamengo/RJ;37891
2009;Fluminense/RJ;20355
2009;Goiás/GO;11020
2009;Grêmio/RS;17991
2009;Internacional/RS;17519
2009;Náutico/PE;14032
2009;Palmeiras/SP;18037
2009;Santo André/SP;4997
2009;Santos/SP;9395
2009;São Paulo/SP;26048
2009;Sport/PE;18558
2009;Vitória/BA;13850
2010;Atlético/GO;7891
2010;Atlético/MG;13447
2010;Atlético/PR;16377
