#YEAR;RANKING;TEAM;POINTS;WIN;DRAW;LOSE;GOAL-BALANCE;GOALS-PRO;GOALS-AGAINST;MATCHES;PERFORMANCE-SCORE
2003;1;Cruzeiro/MG;100;31;7;8;55;102;47;46;72.50%
2003;2;Santos/SP;87;25;12;9;33;93;60;46;63.00%
2003;3;São Paulo/SP;78;22;12;12;14;81;67;46;56.50%
2003;4;São Caetano/SP;74;19;14;13;16;53;37;46;53.60%
2003;5;Coritiba/PR;73;21;10;15;9;67;58;46;52.90%
2003;6;Internacional/RS;72;20;10;16;2;59;57;46;52.20%
2003;7;Atlético/MG;72;19;15;12;14;76;62;46;52.20%
2003;8;Flamengo/RJ;66;18;12;16;-7;66;73;46;47.80%
2003;9;Goiás/GO;65;18;11;17;15;78;63;46;47.10%
2003;10;Paraná/PR;65;18;11;17;10;85;75;46;47.10%
2003;11;Figueirense/SC;65;17;14;15;8;62;54;46;47.10%
2003;12;Atlético/PR;61;17;10;19;-5;67;72;46;44.20%
2003;13;Guarani/SP;61;17;10;19;-8;64;72;46;44.20%
2003;14;Criciúma/SC;60;17;9;20;-12;57;69;46;43.50%
2003;15;Corinthians/SP;59;15;12;19;-2;61;63;46;42.80%
2003;16;Vitória/BA;56;15;11;20;-14;50;64;46;40.60%
2003;17;Vasco/RJ;54;13;15;18;-12;57;69;46;39.10%
2003;18;Juventude/RS;53;12;14;20;-15;55;70;46;38.40%
2003;19;Fluminense/RJ;52;13;11;22;-25;52;77;46;37.70%
2003;20;Grêmio/RS;50;13;11;22;-14;54;68;46;36.20%
2003;21;Ponte Preta/SP;50;11;18;17;-10;63;73;46;36.20%
2003;22;Paysandu/PA;49;15;12;19;-3;74;77;46;35.50%
2003;23;Fortaleza/CE;49;12;13;21;-16;58;74;46;35.50%
2003;24;Bahia/BA;46;12;10;24;-33;59;92;46;33.30%
2004;1;Santos/SP;89;27;8;11;45;103;58;46;64.50%
2004;2;Atlético/PR;86;25;11;10;37;93;56;46;62.30%
2004;3;São Paulo/SP;82;24;10;12;35;78;43;46;59.40%
2004;4;Palmeiras/SP;79;22;13;11;25;72;47;46;57.20%
2004;5;Corinthians/SP;74;20;14;12;0;54;54;46;53.60%
2004;6;Goiás/GO;72;21;9;16;13;81;68;46;52.20%
2004;7;Juventude/RS;70;20;10;16;-6;60;66;46;50.70%
2004;8;Internacional/RS;67;20;7;19;7;66;59;46;48.60%
2004;9;Fluminense/RJ;67;18;13;15;-3;65;68;46;48.60%
2004;10;Ponte Preta/SP;64;19;7;20;-30;43;73;46;46.40%
2004;11;Figueirense/SC;63;17;12;17;-2;57;59;46;45.70%
2004;12;Coritiba/PR;62;15;17;14;5;53;48;46;44.90%
2004;13;Cruzeiro/MG;56;16;8;22;-12;69;81;46;40.60%
2004;14;Paysandu/PA;56;14;14;18;-20;56;76;46;40.60%
2004;15;Paraná/PR;54;15;9;22;-21;52;73;46;39.10%
2004;16;Vasco/RJ;54;14;12;20;-4;64;68;46;39.10%
2004;17;Flamengo/RJ;54;13;15;18;-2;51;53;46;39.10%
2004;18;São Caetano/SP;53;23;8;15;16;65;49;46;38.40%
2004;19;Atlético/MG;53;12;17;17;-6;60;66;46;38.40%
2004;20;Botafogo/RJ;51;11;18;17;-9;62;71;46;37.00%
2004;21;Criciúma/SC;50;13;11;22;-17;61;78;46;36.20%
2004;22;Guarani/SP;49;11;16;19;-12;43;55;46;35.50%
2004;23;Vitória/BA;48;13;9;24;-19;68;87;46;34.80%
2004;24;Grêmio/RS;39;9;12;25;-20;60;80;46;28.30%
2005;1;Corinthians/SP;81;24;9;9;28;87;59;42;64.30%
2005;2;Internacional/RS;78;23;9;10;23;72;49;42;61.90%
2005;3;Goiás/GO;74;22;8;12;17;68;51;42;58.70%
2005;4;Palmeiras/SP;70;20;10;12;16;81;65;42;55.60%
2005;5;Fluminense/RJ;68;19;11;12;9;79;70;42;54.00%
2005;6;Atlético/PR;61;18;7;17;9;76;67;42;48.40%
2005;7;Paraná/PR;61;17;10;15;8;59;51;42;48.40%
2005;8;Cruzeiro/MG;60;17;9;16;1;73;72;42;47.60%
2005;9;Botafogo/RJ;59;17;8;17;1;57;56;42;46.80%
2005;10;Santos/SP;59;16;11;15;-3;68;71;42;46.80%
2005;11;São Paulo/SP;58;16;10;16;10;77;67;42;46.00%
2005;12;Vasco/RJ;56;15;11;16;-10;74;84;42;44.40%
2005;13;Fortaleza/CE;55;16;7;19;-6;58;64;42;43.70%
2005;14;Juventude/RS;55;15;10;17;-6;66;72;42;43.70%
2005;15;Flamengo/RJ;55;14;13;15;-4;56;60;42;43.70%
2005;16;Figueirense/SC;53;14;11;17;-7;65;72;42;42.10%
2005;17;São Caetano/SP;52;14;10;18;-6;54;60;42;41.30%
2005;18;Ponte Preta/SP;51;15;6;21;-17;63;80;42;40.50%
2005;19;Coritiba/PR;49;13;10;19;-9;51;60;42;38.90%
2005;20;Atlético/MG;47;13;8;21;-5;54;59;42;37.30%
2005;21;Paysandu/PA;41;12;5;25;-29;63;92;42;32.50%
2005;22;Brasiliense/DF;41;10;11;21;-20;47;67;42;32.50%
2006;1;São Paulo/SP;78;22;12;4;34;66;32;38;68.40%
2006;2;Internacional/RS;69;20;9;9;16;52;36;38;60.50%
2006;3;Grêmio/RS;67;20;7;11;19;64;45;38;58.80%
2006;4;Santos/SP;64;18;10;10;22;58;36;38;56.10%
2006;5;Paraná/PR;60;18;6;14;7;56;49;38;52.60%
2006;6;Vasco/RJ;59;15;14;9;7;57;50;38;51.80%
2006;7;Figueirense/SC;57;15;12;11;8;52;44;38;50.00%
2006;8;Goiás/GO;55;15;10;13;14;63;49;38;48.20%
2006;9;Corinthians/SP;53;15;8;15;-5;41;46;38;46.50%
2006;10;Cruzeiro/MG;53;14;11;13;7;52;45;38;46.50%
2006;11;Flamengo/RJ;52;15;7;16;-4;44;48;38;45.60%
2006;12;Botafogo/RJ;51;13;12;13;2;52;50;38;44.70%
2006;13;Atlético/PR;48;13;9;16;-1;61;62;38;42.10%
2006;14;Juventude/RS;47;13;8;17;-10;44;54;38;41.20%
2006;15;Fluminense/RJ;45;11;12;15;-10;48;58;38;39.50%
2006;16;Palmeiras/SP;44;12;8;18;-12;58;70;38;38.60%
2006;17;Ponte Preta/SP;39;10;9;19;-20;45;65;38;34.20%
2006;18;Fortaleza/CE;38;8;14;16;-23;39;62;38;33.30%
2006;19;São Caetano/SP;36;9;9;20;-16;37;53;38;31.60%
2006;20;Santa Cruz/PE;28;7;7;24;-35;41;76;38;24.60%
2007;1;São Paulo/SP;77;23;8;7;36;55;19;38;67.50%
2007;2;Santos/SP;62;19;5;14;10;57;47;38;54.40%
2007;3;Flamengo/RJ;61;17;10;11;6;55;49;38;53.50%
2007;4;Fluminense/RJ;61;16;13;9;18;57;39;38;53.50%
2007;5;Cruzeiro/MG;60;18;6;14;15;73;58;38;52.60%
2007;6;Grêmio/RS;58;17;7;14;1;44;43;38;50.90%
2007;7;Palmeiras/SP;58;16;10;12;1;48;47;38;50.90%
2007;8;Atlético/MG;55;15;10;13;12;63;51;38;48.20%
2007;9;Botafogo/RJ;55;14;13;11;4;62;58;38;48.20%
2007;10;Vasco/RJ;54;15;9;14;11;58;47;38;47.40%
2007;11;Internacional/RS;54;15;9;14;5;49;44;38;47.40%
2007;12;Atlético/PR;54;14;12;12;1;51;50;38;47.40%
2007;13;Figueirense/SC;53;14;11;13;1;57;56;38;46.50%
2007;14;Sport/PE;51;14;9;15;-1;54;55;38;44.70%
2007;15;Náutico/PE;49;14;7;17;3;66;63;38;43.00%
2007;16;Goiás/GO;45;13;6;19;-13;49;62;38;39.50%
2007;17;Corinthians/SP;44;10;14;14;-10;40;50;38;38.60%
2007;18;Juventude/RS;41;11;8;19;-22;43;65;38;36.00%
