#ROUND;DATE;HOUR;HOME-TEAM;SCORE;AWAY-TEAM
1;29/03/2003;18:00;Guarani/SP;4x2;Vasco/RJ
1;29/03/2003;18:00;Atlético/PR;2x0;Grêmio/RS
1;30/03/2003;18:00;Goiás/GO;2x2;Paysandu/PA
1;30/03/2003;18:00;Corinthians/SP;0x3;Atlético/MG
1;30/03/2003;16:00;Flamengo/RJ;1x1;Coritiba/PR
1;30/03/2003;16:00;Criciúma/SC;2x0;Fluminense/RJ
1;30/03/2003;16:00;Juventude/RS;2x2;São Paulo/SP
1;30/03/2003;16:00;Fortaleza/CE;0x0;Bahia/BA
1;30/03/2003;16:00;Vitória/BA;1x1;Figueirense/SC
1;30/03/2003;16:00;Cruzeiro/MG;2x2;São Caetano/SP
1;30/03/2003;16:00;Internacional/RS;1x1;Ponte Preta/SP
1;30/03/2003;16:00;Santos/SP;2x2;Paraná/PR
1;05/04/2003;16:00;Fluminense/RJ;1x1;Fortaleza/CE
1;05/04/2003;16:00;Atlético/MG;0x0;Santos/SP
1;05/04/2003;18:00;Grêmio/RS;3x1;Guarani/SP
1;05/04/2003;16:00;Coritiba/PR;0x1;Internacional/RS
1;06/04/2003;16:00;Bahia/BA;1x2;Flamengo/RJ
1;06/04/2003;18:00;Vasco/RJ;6x4;Goiás/GO
1;06/04/2003;16:00;Figueirense/SC;3x3;Corinthians/SP
1;06/04/2003;18:00;São Paulo/SP;2x4;Cruzeiro/MG
1;06/04/2003;16:00;Paysandu/PA;1x2;Vitória/BA
1;06/04/2003;16:00;Ponte Preta/SP;1x0;Juventude/RS
1;06/04/2003;17:00;Paraná/PR;3x0;Atlético/PR
1;06/04/2003;16:00;São Caetano/SP;3x2;Criciúma/SC
1;09/04/2003;21:40;Paysandu/PA;2x1;Santos/SP
1;12/04/2003;16:00;Internacional/RS;2x0;Bahia/BA
1;12/04/2003;16:00;Atlético/PR;1x2;Atlético/MG
1;12/04/2003;16:00;Santos/SP;2x0;Figueirense/SC
1;12/04/2003;18:00;Corinthians/SP;6x1;Paysandu/PA
1;13/04/2003;18:00;Cruzeiro/MG;3x0;Ponte Preta/SP
1;13/04/2003;18:00;Flamengo/RJ;4x1;Fluminense/RJ
1;13/04/2003;16:00;Criciúma/SC;1x1;São Paulo/SP
1;13/04/2003;16:00;Vitória/BA;2x1;Vasco/RJ
1;13/04/2003;16:00;Fortaleza/CE;1x1;São Caetano/SP
1;13/04/2003;16:00;Juventude/RS;2x1;Coritiba/PR
1;13/04/2003;16:00;Guarani/SP;2x0;Paraná/PR
1;13/04/2003;16:00;Goiás/GO;1x1;Grêmio/RS
1;16/04/2003;21:40;São Caetano/SP;1x1;Flamengo/RJ
1;16/04/2003;21:40;Vasco/RJ;2x2;Corinthians/SP
