,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Notas,id,fgk_equipe
0,2022-04-06,20:00,Libertadores,Estágio de grupos,qua,Visitante,V,4,0,7701ed02,2.5,0.9,50,,Gustavo Gómez,4-3-3,Darío Herrera,https://fbref.com/pt/partidas/0c2b92d0/Deportivo-Tachira-Palmeiras-2022Abril6-Copa-Libertadores,,0c2b92d0,abdce579
1,2022-04-09,21:00,Série A,Rodada da semana 1,sáb,Em casa,D,2,3,2f335e17,2.5,1.5,56,27.100,Gustavo Gómez,4-3-3,Caio Max Augusto Vieira,https://fbref.com/pt/partidas/c90739cb/Palmeiras-Ceara-2022Abril9-Serie-A,,c90739cb,abdce579
2,2022-04-12,21:30,Libertadores,Estágio de grupos,ter,Em casa,V,8,1,8211ee59,2.5,0.1,76,26.409,Gustavo Gómez,4-2-3-1,Derlis López,https://fbref.com/pt/partidas/9cdd9f2a/Palmeiras-Independiente-Petrolero-2022Abril12-Copa-Libertadores,,9cdd9f2a,abdce579
3,2022-04-16,16:30,Série A,Rodada da semana 2,sáb,Visitante,E,1,1,78c617cc,1.9,0.8,75,12.864,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,https://fbref.com/pt/partidas/449b7640/Goias-Palmeiras-2022Abril16-Serie-A,,449b7640,abdce579
4,2022-04-20,19:30,Série A,Rodada da semana 4,qua,Visitante,E,0,0,639950ae,0.8,1.4,45,69.997,Gustavo Gómez,4-2-3-1,Wilton Sampaio,https://fbref.com/pt/partidas/572a91c6/Flamengo-Palmeiras-2022Abril20-Serie-A,,572a91c6,abdce579
5,2022-04-23,19:00,Série A,Rodada da semana 3,sáb,Em casa,V,3,0,bf4acd28,1.5,0.2,44,23.973,Gustavo Gómez,4-2-3-1,Anderson Daronco,https://fbref.com/pt/partidas/8f3f59d1/Palmeiras-Corinthians-2022Abril23-Serie-A,,8f3f59d1,abdce579
6,2022-04-27,19:00,Libertadores,Estágio de grupos,qua,Visitante,V,3,1,c1f8ae36,2.3,0.9,44,,Gustavo Gómez,4-3-3,Patricio Loustau,https://fbref.com/pt/partidas/512bd0ee/CS-Emelec-Palmeiras-2022Abril27-Copa-Libertadores,,512bd0ee,abdce579
7,2022-05-03,20:30,Libertadores,Estágio de grupos,ter,Visitante,V,5,0,8211ee59,3.5,0.7,65,,Gustavo Gómez,4-2-3-1,Nicolás Lamolina,https://fbref.com/pt/partidas/6e7aced1/Independiente-Petrolero-Palmeiras-2022Maio3-Copa-Libertadores,,6e7aced1,abdce579
8,2022-05-08,16:00,Série A,Rodada da semana 5,dom,Em casa,E,1,1,84d9701c,2.1,0.7,50,28.776,Gustavo Gómez,4-2-3-1,Savio Pereira,https://fbref.com/pt/partidas/57b34fd0/Palmeiras-Fluminense-2022Maio8-Serie-A,,57b34fd0,abdce579
9,2022-05-14,16:30,Série A,Rodada da semana 6,sáb,Em casa,V,2,0,f98930d1,1.8,0.4,49,36.123,Gustavo Gómez,4-2-3-1,Flavio Rodrigues De Souza,https://fbref.com/pt/partidas/18175b16/Palmeiras-Bragantino-2022Maio14-Serie-A,,18175b16,abdce579
10,2022-05-18,19:00,Libertadores,Estágio de grupos,qua,Em casa,V,1,0,c1f8ae36,2.8,0.6,63,,Gustavo Gómez,4-2-3-1,Nicolás Gamboa,https://fbref.com/pt/partidas/741669ec/Palmeiras-CS-Emelec-2022Maio18-Copa-Libertadores,,741669ec,abdce579
11,2022-05-21,19:00,Série A,Rodada da semana 7,sáb,Visitante,V,3,0,d081b697,1.7,0.9,54,5.513,Marcos Rocha,4-3-3,Marcelo de Lima Henrique,https://fbref.com/pt/partidas/7201cb97/Juventude-Palmeiras-2022Maio21-Serie-A,,7201cb97,abdce579
12,2022-05-24,21:30,Libertadores,Estágio de grupos,ter,Em casa,V,4,1,7701ed02,2.9,0.9,65,,Gustavo Gómez,4-2-3-1,Kevin Ortega,https://fbref.com/pt/partidas/91fc4f1a/Palmeiras-Deportivo-Tachira-2022Maio24-Copa-Libertadores,,91fc4f1a,abdce579
13,2022-05-29,16:00,Série A,Rodada da semana 8,dom,Visitante,V,1,0,712c528f,1.8,1.7,55,14.220,Gustavo Gómez,4-2-3-1,Luiz Flávio de Oliveira,https://fbref.com/pt/partidas/d2e3572b/Santos-Palmeiras-2022Maio29-Serie-A,,d2e3572b,abdce579
